2024-08-17 13:53:38,962: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-08-17 13:53:39,454: root: INFO: Current backtesting datetime 2022-06-01 08:30:00-04:00
2024-08-17 13:53:39,455: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-08-17 13:53:39,455: root: INFO: Current backtesting datetime 2022-06-01 09:30:00-04:00
2024-08-17 13:53:39,455: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-08-17 13:53:39,455: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:39[0m
2024-08-17 13:53:39,456: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,197: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,197: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
2024-08-17 13:53:40,198: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,198: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,200: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,570: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,570: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:40,570: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,571: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,573: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,810: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,810: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:40,810: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,811: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:40,812: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,085: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,085: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,085: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,086: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,088: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,278: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,278: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,278: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,279: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,281: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,503: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,503: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,503: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,504: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,505: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,506: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
